Team_A 2022-04-25 11:00 2
Team_B 2022-04-25 11:00 3
Team_C 2022-04-25 11:00 4
Team_D 2022-04-25 11:00 7
Team_E 2022-04-25 11:00 7
Team_A 2022-04-26 11:00 2
Team_B 2022-04-26 11:00 3
Team_C 2022-04-26 11:00 4
Team_D 2022-04-26 11:00 7
Team_E 2022-04-26 11:00 7
Team_A 2022-04-27 11:00 2
Team_B 2022-04-27 11:00 3
Team_C 2022-04-27 11:00 4
Team_D 2022-04-27 11:00 7
Team_E 2022-04-27 11:00 7
Team_A 2022-04-28 11:00 2
Team_B 2022-04-28 11:00 2
Team_C 2022-04-28 11:00 3
Team_D 2022-04-28 11:00 4
Team_E 2022-04-28 11:00 2
Team_A 2022-04-29 09:00 9
Team_B 2022-04-29 09:00 9
Team_C 2022-04-29 09:00 9
Team_D 2022-04-29 09:00 9
Team_E 2022-04-29 09:00 9
Team_A 2022-04-30 09:00 9
Team_B 2022-04-30 09:00 9
Team_C 2022-04-30 09:00 9
Team_D 2022-04-30 09:00 9
Team_E 2022-04-30 09:00 9
Team_A 2022-05-02 09:00 9
Team_B 2022-05-02 09:00 9
Team_C 2022-05-02 09:00 9
Team_D 2022-05-02 09:00 9
Team_E 2022-05-02 09:00 9
Team_A 2022-05-03 11:00 1
Team_B 2022-05-03 11:00 2
Team_C 2022-05-03 11:00 3
Team_D 2022-05-03 11:00 4
Team_E 2022-05-03 11:00 2
Team_A 2022-05-04 11:00 2
Team_B 2022-05-04 11:00 2
Team_C 2022-05-04 11:00 3
Team_D 2022-05-04 11:00 4
Team_E 2022-05-04 11:00 2
Team_A 2022-05-05 11:00 2
Team_B 2022-05-05 11:00 2
Team_C 2022-05-05 11:00 3
Team_D 2022-05-05 11:00 4
Team_E 2022-05-05 11:00 2
Team_A 2022-05-06 09:00 9
Team_B 2022-05-06 09:00 9
Team_C 2022-05-06 09:00 9
Team_D 2022-05-06 09:00 9
Team_E 2022-05-06 09:00 9
Team_A 2022-05-07 11:00 2
Team_B 2022-05-07 11:00 2
Team_C 2022-05-07 11:00 3
Team_D 2022-05-07 11:00 4
Team_E 2022-05-07 11:00 2
Team_A 2022-05-08 11:00 2
Team_B 2022-05-08 11:00 2
Team_C 2022-05-08 11:00 3
Team_D 2022-05-08 11:00 4
Team_E 2022-05-08 11:00 2
Team_A 2022-05-10 09:00 9
Team_B 2022-05-10 09:00 9
Team_C 2022-05-10 09:00 9
Team_D 2022-05-10 09:00 9
Team_E 2022-05-10 09:00 9
Team_A 2022-05-11 11:00 2
Team_B 2022-05-11 11:00 2
Team_C 2022-05-11 11:00 3
Team_D 2022-05-11 11:00 4
Team_E 2022-05-11 11:00 2
Team_A 2022-05-12 11:00 2
Team_B 2022-05-12 11:00 2
Team_C 2022-05-12 11:00 3
Team_D 2022-05-12 11:00 4
Team_E 2022-05-12 11:00 2
Team_A 2022-05-13 11:00 2
Team_B 2022-05-13 11:00 2
Team_C 2022-05-13 11:00 3
Team_D 2022-05-13 11:00 4
Team_E 2022-05-13 11:00 2
Team_A 2022-05-14 11:00 2
Team_B 2022-05-14 11:00 2
Team_C 2022-05-14 11:00 3
Team_D 2022-05-14 11:00 4
Team_E 2022-05-14 11:00 2
